name,affinity
antivir1385,-6.5
antivir623,-6.8
antivir3685,-6.0
antivir2643,-6.1
antivir1423,-6.0
antivir3026,-5.3
antivir2523,-6.9
antivir3189,-5.8
antivir2046,-6.0
antivir3072,-4.6
antivir1782,-6.1
antivir1708,-6.5
antivir1284,-6.9
antivir1069,-6.2
antivir3774,-6.1
antivir796,-6.2
antivir3597,-5.7
antivir2699,-6.0
antivir1724,-7.2
antivir3129,-5.1
antivir581,-5.8
antivir3612,-6.2
antivir3425,-6.5
antivir1540,-6.0
antivir1399,-6.1
antivir27,-7.4
antivir2348,-5.8
antivir2089,-5.5
antivir651,-6.2
antivir2172,-6.6
antivir3275,-5.0
antivir1727,-6.7
antivir201,-6.9
antivir1028,-6.2
antivir2532,-5.8
antivir684,-6.0
antivir3003,-5.6
antivir1983,-6.8
antivir624,-5.4
antivir2411,-6.4
antivir127,-5.5
antivir1528,-5.6
antivir3620,-5.9
antivir1070,-6.3
antivir3062,-5.4
antivir1585,-6.7
antivir3691,-5.6
antivir1192,-5.3
antivir2067,-6.2
antivir394,-5.4
antivir1058,-6.4
antivir748,-6.5
antivir456,-6.5
antivir3073,-4.6
antivir3247,-5.3
antivir3789,-5.9
antivir1813,-5.5
antivir3841,-7.0
antivir801,-6.0
antivir330,-4.9
antivir813,-6.5
antivir1243,-6.1
antivir3888,-7.1
antivir1331,-5.5
antivir3212,-5.5
antivir915,-5.8
antivir3868,-6.6
antivir3803,-6.2
antivir3365,-5.8
antivir2772,-5.9
antivir2120,-6.3
antivir3795,-6.8
antivir252,-7.2
antivir2043,-6.1
antivir103,-6.2
antivir500,-5.8
antivir670,-6.6
antivir3350,-6.2
antivir1253,-5.4
antivir3238,-6.4
antivir1541,-6.1
antivir2049,-6.5
antivir2663,-6.2
antivir1005,-6.7
antivir3534,-5.7
antivir1297,-4.8
antivir3522,-5.9
antivir334,-6.7
antivir3445,-5.6
antivir450,-5.7
antivir2870,-5.8
antivir1518,-6.5
antivir1459,-6.1
antivir2642,-5.9
antivir1737,-6.3
